"","City","Distribution","latitude","longitude","taxLev","marker-color","marker-size"
"3","Beaver",6467.01,38.2761799996075,-112.641240000326,6,"#8D0071","small"
"4","Milford",4825.31,38.3966799995825,-113.010859999689,6,"#8D0071","small"
"5","Minersville",1818.42,38.214769999636,-112.923930000069,5,"#71008D","small"
"7","Bear River City",764.91,41.6113400001411,-112.127109999926,4,"#5500AA","small"
"8","Brigham City",14727.71,41.5116300002245,-112.015740000101,7,"#AA0055","small"
"9","Corinne",1719.8,41.5513299999797,-112.11040000006,5,"#71008D","small"
"10","Deweyville",163.35,41.7153600000641,-112.095009999911,3,"#3800C6","small"
"11","Elwood",783.5,41.6736399997863,-112.141009999712,4,"#5500AA","small"
"12","Fielding",208.58,41.8136900001935,-112.116120000338,3,"#3800C6","small"
"13","Garland",2106.82,41.740520000198,-112.162619999813,5,"#71008D","small"
"14","Honeyville",1034.76,41.6366599995595,-112.079579999717,5,"#71008D","small"
"15","Howell",119.63,41.8121100001765,-112.415339999741,3,"#3800C6","small"
"16","Mantua",915.24,41.504240000276,-111.942790000358,5,"#71008D","small"
"17","Perry",3054.6,41.4550499999577,-112.044559999944,6,"#8D0071","small"
"18","Plymouth",182.95,41.874340000191,-112.149740000301,3,"#3800C6","small"
"19","Portage",139.73,41.9757599998243,-112.229689999993,3,"#3800C6","small"
"20","Snowville",420.68,41.9655700002555,-112.715609999901,4,"#5500AA","small"
"21","Tremonton",7450.33,41.7189799997274,-112.165690000193,6,"#8D0071","small"
"22","Willard",2186.96,41.4081700000456,-112.037490000363,5,"#71008D","small"
"24","Amalga",236.72,41.8482999999452,-111.893689999694,3,"#3800C6","small"
"25","Clarkston",469.68,41.9210500003574,-112.044969999965,4,"#5500AA","small"
"26","Cornish",137.72,41.9754000003099,-111.953220000203,3,"#3800C6","small"
"27","Hyde Park",2307.97,41.7991000000651,-111.820559999744,5,"#71008D","small"
"28","Hyrum",8262.93,41.6339600000541,-111.851010000111,7,"#AA0055","small"
"29","Lewiston",1751.02,41.975949999593,-111.848879999912,5,"#71008D","small"
"30","Logan",69145.26,41.7361799997074,-111.834850000427,8,"#C60038","small"
"31","Mendon",598.53,41.7079100000466,-111.977890000223,4,"#5500AA","small"
"32","Millville",915.12,41.6780600003689,-111.825099999565,5,"#71008D","small"
"33","Newton",790.18,41.8624199999832,-111.989860000039,4,"#5500AA","small"
"34","North Logan",7105.3,41.7858600001391,-111.833770000085,6,"#8D0071","small"
"35","Paradise",448.28,41.5664799998523,-111.83139999961,4,"#5500AA","small"
"36","Providence",5186.74,41.709980000177,-111.821559999994,6,"#8D0071","small"
"37","Richmond",2251.55,41.9217300002395,-111.814379999837,5,"#71008D","small"
"38","River Heights",854.81,41.7213599997643,-111.82119999958,5,"#71008D","small"
"39","Smithfield",8586.79,41.8380199998233,-111.832640000136,7,"#AA0055","small"
"40","Wellsville",4372.8,41.6387400001511,-111.933410000371,6,"#8D0071","small"
"41","Trenton",251.79,41.9176300000246,-111.946089999654,3,"#3800C6","small"
"42","Nibley",4036.04,41.6757699999857,-111.833380000087,6,"#8D0071","small"
"44","Helper",6879.58,39.6832299999647,-110.854649999997,6,"#8D0071","small"
"45","Price",19167.88,39.6010099999118,-110.810990000188,7,"#AA0055","small"
"46","Scofield",349.83,39.7273399998413,-111.160179999907,4,"#5500AA","small"
"47","Sunnyside",234.35,39.5495700001555,-110.394460000429,3,"#3800C6","small"
"48","Wellington",2654.46,39.5418900003234,-110.734049999907,6,"#8D0071","small"
"49","East Carbon",2160.04,39.5424900001136,-110.418830000104,5,"#71008D","small"
"51","Manila",1871.1,40.9872100001415,-109.722720000128,5,"#71008D","small"
"53","Bountiful",43160.39,40.8817399999012,-111.878390000098,8,"#C60038","small"
"54","Centerville",19864.49,40.9197699999857,-111.878980000327,7,"#AA0055","small"
"55","Clearfield",46014.82,41.1138400004158,-112.022310000006,8,"#C60038","small"
"56","Fruit Heights",3301.35,41.0204299996449,-111.906759999874,6,"#8D0071","small"
"57","Farmington",11744.85,40.9831099999267,-111.887560000294,7,"#AA0055","small"
"58","Kaysville",15663.45,41.0348500000276,-111.937480000102,7,"#AA0055","small"
"59","Layton",70661.61,41.0659299997698,-111.961020000173,8,"#C60038","small"
"60","North Salt Lake",17108.19,40.8403800000372,-111.910980000227,7,"#AA0055","small"
"61","South Weber",3637.22,41.1330100004113,-111.938779999797,6,"#8D0071","small"
"62","Sunset",8383.02,41.1398799997623,-112.029559999794,7,"#AA0055","small"
"63","Syracuse",18910.56,41.0888099999817,-112.064610000051,7,"#AA0055","small"
"64","West Point",4640.94,41.1181100003764,-112.088159999684,6,"#8D0071","small"
"65","Woods Cross",15042.79,40.8738599998393,-111.902030000284,7,"#AA0055","small"
"66","Clinton",18169.78,41.1398799997623,-112.063790000008,7,"#AA0055","small"
"67","West Bountiful",7221.35,40.8992099997419,-111.90207000033,6,"#8D0071","small"
"69","Altamont",438.77,40.3593600003639,-110.284259999699,4,"#5500AA","small"
"70","Duchesne",2563.07,40.1637099999167,-110.401360000264,6,"#8D0071","small"
"71","Myton",1338.35,40.1957800003469,-110.070579999667,5,"#71008D","small"
"72","Roosevelt",21648.42,40.302120000238,-109.989589999679,7,"#AA0055","small"
"73","Tabiona",422.69,40.3515099998867,-110.709520000048,4,"#5500AA","small"
"75","Castle Dale",2166.04,39.2117199999782,-111.015640000186,5,"#71008D","small"
"76","Clawson",81.94,39.1300900001535,-111.101760000224,2,"#1C00E2","small"
"77","Cleveland",599.07,39.3508199997434,-110.851949999593,4,"#5500AA","small"
"78","Elmo",179.93,39.3895899997788,-110.818269999561,3,"#3800C6","small"
"79","Emery",142.75,38.9224899999138,-111.255579999817,3,"#3800C6","small"
"80","Ferron",1809.21,39.0883099998068,-111.133089999803,5,"#71008D","small"
"81","Green River",4918.67,38.9955100001865,-110.158840000366,6,"#8D0071","small"
"82","Huntington",2410.26,39.3339899997389,-110.964669999621,5,"#71008D","small"
"83","Orangeville",1020.69,39.2313800000871,-111.053209999742,5,"#71008D","small"
"85","Antimony",393.54,38.1152399999262,-111.996850000427,4,"#5500AA","small"
"86","Boulder",3173.78,37.9078399999162,-111.42426999986,6,"#8D0071","small"
"87","Bryce Canyon",1736.42,37.6234999996254,-112.171330000379,5,"#71008D","small"
"88","Cannonville",405.61,37.5685499998827,-112.054029999585,4,"#5500AA","small"
"89","Escalante",3542.91,37.7703299997299,-111.600519999598,6,"#8D0071","small"
"90","Hatch",52.79,37.65060000019,-112.434420000083,2,"#1C00E2","small"
"91","Henrieville",67.37,37.5625399997214,-111.99540000011,2,"#1C00E2","small"
"92","Panguitch",4449.56,37.822740000151,-112.434649999897,6,"#8D0071","small"
"93","Tropic",916.7,37.6231699996959,-112.081720000378,5,"#71008D","small"
"95","Castle Valley",187.97,38.6345799995675,-109.404340000291,3,"#3800C6","small"
"96","Moab",15357.7,38.570220000253,-109.553060000319,7,"#AA0055","small"
"98","Cedar City",27764.43,37.6779499996929,-113.061759999724,8,"#C60038","small"
"99","Enoch",2672.57,37.764709999567,-113.029010000311,6,"#8D0071","small"
"100","Kanarraville",153.8,37.5422799998223,-113.181060000119,3,"#3800C6","small"
"101","Paragonah",237.22,37.8866599998593,-112.775029999834,3,"#3800C6","small"
"102","Parowan",4399.47,37.8434900001636,-112.827619999563,6,"#8D0071","small"
"103","Brian Head",4513.64,37.6992400003259,-112.845210000441,6,"#8D0071","small"
"105","Eureka",1088.56,39.9566500002974,-112.108229999815,5,"#71008D","small"
"106","Levan",830.38,39.5588399995665,-111.864780000197,5,"#71008D","small"
"107","Mona",1064.41,39.819069999581,-111.856240000276,5,"#71008D","small"
"108","Nephi",9343.89,39.7100399997464,-111.835129999849,7,"#AA0055","small"
"111","Alton",65.36,37.4408499997278,-112.482619999713,2,"#1C00E2","small"
"112","Glendale",507.62,37.318740000151,-112.597539999571,4,"#5500AA","small"
"113","Kanab",11592.6,37.0481299998997,-112.527330000279,7,"#AA0055","small"
"114","Orderville",1517.33,37.2759700000157,-112.638029999785,5,"#71008D","small"
"115","Big Water",544.3,37.078349999553,-111.661859999939,4,"#5500AA","small"
"117","Delta",6803.91,39.3524300002445,-112.582629999974,6,"#8D0071","small"
"118","Fillmore",6758.66,38.9700099996619,-112.323719999678,6,"#8D0071","small"
"119","Hinckley",358.83,39.330709999567,-112.665990000438,4,"#5500AA","small"
"120","Holden",181.94,39.0968699997509,-112.270909999697,3,"#3800C6","small"
"121","Kanosh",575.96,38.8024800000521,-112.437689999794,4,"#5500AA","small"
"122","Leamington",99.03,39.5352800003719,-112.279990000238,3,"#3800C6","small"
"123","Lynndyl",398.07,39.5243899999987,-112.372009999861,4,"#5500AA","small"
"124","Meadow",456.86,38.8914599997793,-112.410830000404,4,"#5500AA","small"
"125","Oak City",305.56,39.3760799999922,-112.336080000392,4,"#5500AA","small"
"126","Scipio",145.26,39.2491700002955,-112.103939999831,3,"#3800C6","small"
"128","Morgan",3412.8,41.0357599997243,-111.678279999922,6,"#8D0071","small"
"130","Circleville",241.74,38.1717499996629,-112.271109999926,3,"#3800C6","small"
"131","Junction",767.45,38.2372700003104,-112.219940000031,4,"#5500AA","small"
"132","Kingston",63.85,38.2082999998453,-112.188290000083,2,"#1C00E2","small"
"133","Marysvale",1545.93,38.4477500002625,-112.230220000153,5,"#71008D","small"
"135","Garden City",1941.95,41.9502499997379,-111.393279999772,5,"#71008D","small"
"136","Laketown",87.97,41.8254700002405,-111.32392999967,3,"#3800C6","small"
"137","Randolph",918.71,41.6665799997674,-111.184939999581,5,"#71008D","small"
"138","Woodruff",86.46,41.5209199996584,-111.162909999896,3,"#3800C6","small"
"139","Salt Lake County",761052.94,40.7594999997254,-111.888229999715,10,"#FF0000","small"
"140","Alta",5596.5,40.5896900001935,-111.639630000024,6,"#8D0071","small"
"141","Bluffdale",5032.81,40.4934199997334,-111.938770000235,6,"#8D0071","small"
"142","Cottonwood Heights",30545.8,40.626100000215,-111.856160000184,8,"#C60038","small"
"143","Draper",46863.02,40.5241399999612,-111.866269999661,8,"#C60038","small"
"144","Herriman",12776.41,40.5141699997458,-112.033490000263,7,"#AA0055","small"
"145","Holladay",44113.92,40.6714200001331,-111.824559999844,8,"#C60038","small"
"146","Midvale",54756,40.6107599996744,-111.908720000328,8,"#C60038","small"
"147","Murray",80201.17,40.6621099997768,-111.888320000268,9,"#E2001C","small"
"148","Riverton",31820.62,40.5200999998153,-111.93167000017,8,"#C60038","small"
"149","Salt Lake City",491132.69,40.7594999997254,-111.888229999715,10,"#FF0000","small"
"150","Sandy",101868.96,40.5700799996924,-111.895140000011,9,"#E2001C","small"
"151","South Jordan",39044.72,40.5480200004229,-111.93867000012,8,"#C60038","small"
"152","South Salt Lake",80286.21,40.7178499999777,-111.882920000358,9,"#E2001C","small"
"153","Taylorsville",54467.08,40.6565400001211,-111.938850000327,8,"#C60038","small"
"154","West Jordan",101672.93,40.6067500000127,-111.938750000212,9,"#E2001C","small"
"155","West Valley City",161659.1,40.6936900000936,-111.957880000162,9,"#E2001C","small"
"157","Blanding",8329.3,37.625409999572,-109.477120000288,7,"#AA0055","small"
"158","Monticello",4301.6,37.8704699996909,-109.342910000296,6,"#8D0071","small"
"160","Centerfield",896.06,39.1276100000017,-111.819190000418,5,"#71008D","small"
"161","Ephraim",7262.33,39.3607000003049,-111.587129999949,6,"#8D0071","small"
"162","Fairview",1828.39,39.630489999614,-111.439260000449,5,"#71008D","small"
"163","Fayette",101.04,39.2245600003439,-111.848030000284,3,"#3800C6","small"
"164","Fountain Green",728.92,39.6227000001051,-111.634689999744,4,"#5500AA","small"
"165","Gunnison",2241.47,39.1517099998168,-111.818350000352,5,"#71008D","small"
"166","Manti",3025.3,39.2646999997054,-111.637020000173,6,"#8D0071","small"
"167","Mayfield",559.88,39.1160900002535,-111.710689999843,4,"#5500AA","small"
"168","Moroni",2266.76,39.524920000158,-111.582859999989,5,"#71008D","small"
"169","Mount Pleasant",5259.04,39.546769999636,-111.455859999739,6,"#8D0071","small"
"170","Spring City",1009.07,39.4802400000761,-111.496069999631,5,"#71008D","small"
"171","Sterling",476.46,39.1941900000686,-111.692520000098,4,"#5500AA","small"
"172","Wales",113.6,39.4876500000476,-111.635119999788,3,"#3800C6","small"
"174","Annabella",316.62,38.7083100002065,-112.061840000016,4,"#5500AA","small"
"175","Aurora",610.03,38.9186200004128,-111.935189999719,4,"#5500AA","small"
"177","Elsinore",704.6,38.6830099999117,-112.147650000147,4,"#5500AA","small"
"178","Glenwood",211.59,38.7638300001545,-111.990379999737,3,"#3800C6","small"
"179","Joseph",130.69,38.6267900000586,-112.218179999807,3,"#3800C6","small"
"180","Koosharem",487.52,38.5124999995755,-111.881360000364,4,"#5500AA","small"
"181","Monroe",1603.14,38.6310899996039,-112.121389999649,5,"#71008D","small"
"182","Redmond",397.52,39.0054000003099,-111.861669999771,4,"#5500AA","small"
"183","Richfield",9136.43,38.7715500000326,-112.084780000297,7,"#AA0055","small"
"184","Salina",4886.74,38.9582499996379,-111.860080000192,6,"#8D0071","small"
"185","Sigurd",894.09,38.8418699999007,-111.967369999826,5,"#71008D","small"
"187","Coalville",1710.22,40.9182399995765,-111.399659999909,5,"#71008D","small"
"188","Francis",798.57,40.6105099998368,-111.280160000184,4,"#5500AA","small"
"189","Henefer",689.53,41.017440000256,-111.498709999966,4,"#5500AA","small"
"190","Kamas",4547.23,40.643149999573,-111.279690000093,6,"#8D0071","small"
"191","Oakley",1360.93,40.7148500001276,-111.298900000135,5,"#71008D","small"
"192","Park City",60289.9,40.6431400000112,-111.493969999915,8,"#C60038","small"
"194","Grantsville",10193.61,40.5999199998083,-112.466749999912,7,"#AA0055","small"
"195","Ophir",8.57,40.366240000176,-112.264809999881,1,"#0000FF","small"
"196","Stockton",976,40.4518399996165,-112.362520000198,5,"#71008D","small"
"197","Tooele",57306.4,40.5311300003494,-112.298509999936,8,"#C60038","small"
"198","Vernon",499.07,40.0916899998937,-112.430830000004,4,"#5500AA","small"
"199","Wendover",2278.74,40.7364699997908,-114.040269999561,5,"#71008D","small"
"200","Rush Valley",306.57,40.3592099997418,-112.453509999986,4,"#5500AA","small"
"202","Naples",4814.69,40.4237399997014,-109.499350000202,6,"#8D0071","small"
"203","Vernal",33085.35,40.4557100000167,-109.528959999604,8,"#C60038","small"
"204","Ballard",718.17,40.3022899999837,-109.952960000304,4,"#5500AA","small"
"206","Alpine",5773.5,40.4538600001391,-111.777829999655,6,"#8D0071","small"
"207","American Fork",32928.84,40.377829999555,-111.797480000202,8,"#C60038","small"
"208","Cedar Fort",519.17,40.3237900004083,-112.103509999787,4,"#5500AA","small"
"209","Eagle Mountain",12536.99,40.3802400000761,-111.987379999887,7,"#AA0055","small"
"210","Fairfield",67.37,40.2659899996389,-112.093790000308,2,"#1C00E2","small"
"211","Genola",1054.27,40.0182700000606,-111.84339999991,5,"#71008D","small"
"212","Goshen",953.79,39.9528800000122,-111.898119999838,5,"#71008D","small"
"213","Lehi",48275.84,40.3896600001091,-111.847469999641,8,"#C60038","small"
"214","Lindon",12924.41,40.3408700002505,-111.719380000387,7,"#AA0055","small"
"215","Mapleton",5241.38,40.1303999998603,-111.578280000122,6,"#8D0071","small"
"216","Orem",96632.15,40.2980600000691,-111.695419999833,9,"#E2001C","small"
"217","Payson",23077.29,40.0436300004243,-111.738649999598,7,"#AA0055","small"
"218","Pleasant Grove",32541.11,40.36320000028,-111.738849999827,8,"#C60038","small"
"219","Provo",119638.93,40.2337700003854,-111.668509999936,9,"#E2001C","small"
"220","Salem",6510.55,40.053069999581,-111.674419999983,6,"#8D0071","small"
"221","Santaquin",10739.58,39.975589999579,-111.780030000384,7,"#AA0055","small"
"222","Saratoga Springs",14797.19,40.3472300003644,-111.908950000142,7,"#AA0055","small"
"223","Highland",10036.31,40.4209200000581,-111.78779999987,7,"#AA0055","small"
"224","Spanish Fork",28847.12,40.1091500001725,-111.654790000358,8,"#C60038","small"
"225","Springville",28989.95,40.165960000254,-111.610640000436,8,"#C60038","small"
"226","Vineyard",71.89,40.2970799998423,-111.742580000067,2,"#1C00E2","small"
"227","Cedar Hills",5733.06,40.4153900004483,-111.764939999681,6,"#8D0071","small"
"228","Elk Ridge",1296.53,40.0146500003974,-111.680909999796,5,"#71008D","small"
"229","Woodland Hills",696.02,40.0252799995725,-111.653710000016,4,"#5500AA","small"
"231","Charleston",226.67,40.4663000000451,-111.468860000289,3,"#3800C6","small"
"235","Midway",6675.02,40.5122300002145,-111.475510000286,6,"#8D0071","small"
"236","Wallsburg",151.29,40.3876999996554,-111.423500000325,3,"#3800C6","small"
"240","Enterprise",1552.53,37.5735999998403,-113.71359999964,5,"#71008D","small"
"241","Hurricane",24884.86,37.1770000000501,-113.284859999789,7,"#AA0055","small"
"242","Ivins",5321.85,37.168389999599,-113.671849999778,6,"#8D0071","small"
"243","La Verkin",2186.49,37.2108800003119,-113.270150000422,5,"#71008D","small"
"244","Leeds",719.68,37.2395199999482,-113.357840000016,4,"#5500AA","small"
"245","New Harmony",90.48,37.4780300001845,-113.309150000272,3,"#3800C6","small"
"246","Rockville",128.17,37.1612399999262,-113.036939999981,3,"#3800C6","small"
"247","St. George",70150.72,37.1090699997808,-113.583300000095,8,"#C60038","small"
"248","Santa Clara",5472.26,37.1329199997584,-113.653740000101,6,"#8D0071","small"
"249","Springdale",7894.06,37.1831700003954,-113.003660000409,6,"#8D0071","small"
"250","Toquerville",682.45,37.2541900001685,-113.285039999996,4,"#5500AA","small"
"251","Virgin",1355.58,37.203609999602,-113.187179999957,5,"#71008D","small"
"252","Washington",23750.7,37.1302699998608,-113.509379999687,7,"#AA0055","small"
"253","Hildale",1024.31,37.0035899999787,-112.983690000393,5,"#71008D","small"
"255","Bicknell",511.13,38.3405799998673,-111.541859999639,4,"#5500AA","small"
"256","Hanksville",1468.04,38.3744099996219,-110.711639999786,5,"#71008D","small"
"257","Loa",595.05,38.4029700000656,-111.642779999597,4,"#5500AA","small"
"258","Lyman",109.58,38.3934800004018,-111.589500000425,3,"#3800C6","small"
"259","Torrey",1804.26,38.2990300002345,-111.419979999877,5,"#71008D","small"
"261","Farr West",6039.31,41.2961800004069,-112.027729999939,6,"#8D0071","small"
"262","Harrisville",12279.07,41.2816999999552,-111.984990000288,7,"#AA0055","small"
"263","Hooper",3344.98,41.1610900003034,-112.122850000427,6,"#8D0071","small"
"264","Huntsville",1063.08,41.260669999621,-111.77127000021,5,"#71008D","small"
"265","Marriott-Slaterville",3223.09,41.2672799995725,-112.017380000187,6,"#8D0071","small"
"266","North Ogden",13794.8,41.3058399998163,-111.964249999837,7,"#AA0055","small"
"267","Ogden",170942.45,41.2223600001141,-111.970460000229,9,"#E2001C","small"
"268","Plain City",3507.98,41.2978700001006,-112.080140000361,6,"#8D0071","small"
"269","Pleasant View",6441.95,41.319520000248,-111.990849999828,6,"#8D0071","small"
"270","Riverdale",17839.23,41.1766900002435,-111.992690000143,7,"#AA0055","small"
"271","Roy",44028.56,41.1725900000287,-112.026020000223,8,"#C60038","small"
"272","South Ogden",19770.71,41.1918400001161,-111.966910000196,7,"#AA0055","small"
"273","Uintah",736.01,41.1442099997918,-111.92366999997,4,"#5500AA","small"
"274","Washington Terrace",7837.04,41.1829399997814,-111.97407000033,6,"#8D0071","small"
"275","West Haven",7545.16,41.2220300001845,-112.029510000186,6,"#8D0071","small"
